93612,76992,69452
4387,60049,8877
43126,39737,84757
30167,68987,19789
92427,53000,95237
38193,19273,23561
54992,34511,43980
11107,44787,52686
35724,98740,19812
28016,57751,86155
93461,77703,78395
94606,79586,97929
67878,92289,42528
38971,54378,98204
66002,25958,89347
40281,30990,67294
25898,31190,14029
85535,48773,26872
10128,70597,46452
68618,23612,85624
79490,1682,569
8828,51411,60251
38583,16324,14091
10437,63697,61596
56370,26228,17029
86199,8063,16493
20471,66847,99889
28748,63929,18749
19248,83995,67615
333,91140,79303
59093,5932,49628
65463,73678,60286
87559,27061,41247
424,28274,74202
85572,19477,32761
88116,2580,65047
77302,37669,40015
7664,30793,17676
7152,87786,56278
21754,53651,91511
19205,97579,71254
13841,24770,87922
60676,26132,30482
10161,34169,42397
97588,95253,77422
62674,99068,96065
3701,85077,92763
87646,99624,9786
79480,48455,82469
85485,88400,12789
80002,63227,89969
78922,68131,54845
11326,3980,91289
37613,85718,1487
73551,87391,77749
18494,53007,56937
95754,20192,31376
81009,94209,66866
89029,86481,28533
73124,31585,3562
5647,86375,87389
17667,62606,81057
90251,13392,46704
8922,53813,49554
90818,72498,63116
63706,12205,48645
86075,45959,79136
8533,98522,94830
13261,87807,47571
85512,34571,10686
70830,45794,26572
70838,85387,63507
50514,2902,47654
97257,76204,25909
20663,49002,12395
14787,22089,91493
9519,20986,37182
48407,1747,57434
84550,61928,41891
27065,7926,77657
32551,75407,17933
44728,48491,5096
28667,99071,90157
98892,74499,37947
75619,55121,72752
36135,20145,68562
33258,19964,28963
66217,41845,39708
32152,82331,42510
38241,71629,84071
63645,42508,41998
18010,23872,31891
30919,69353,79552
5249,74361,18723
51253,57096,69531
54551,72707,27442
87816,89043,21120
43115,24297,19479
10017,68608,64216
38916,98813,18429
53460,96455,10528
1528,25204,29747
59806,11528,62206
84940,6921,98186
55,22445,44444
48901,95321,2434
36897,31163,71124
733,10092,43971
95769,23499,86894
58488,65824,44700
95535,95053,28430
62042,11824,48380
47371,59378,9083
87851,59391,33276
71416,91746,80466
20986,14005,28560
62877,91310,56300
44999,12630,89580
12814,17342,311
75884,25052,43459
17057,50968,25293
8779,78959,17492
37260,26515,88716
93030,14321,95804
51240,43987,47003
19716,71779,92039
38192,96721,59996
3751,16201,26085
23562,83044,98517
21091,69932,70564
17906,89206,87817
15112,8697,39582
50853,23583,25901
4031,58523,46946
29574,85339,94502
2159,28840,67804
64232,21352,6079
69968,53511,19694
64707,83228,92602
68033,91486,5930
88327,83351,44501
48616,4913,23373
64394,88985,96012
7137,22829,95789
61147,23131,27577
9220,73362,24735
77484,65386,87676
19406,27628,27294
36096,5448,80101
41415,71615,96750
49579,73718,75680
51667,75635,2150
58588,13959,21674
3301,85861,9573
39663,82812,63976
77881,12060,64325
32096,56047,49426
87020,81590,63482
11350,22612,68794
34318,87015,28581
88333,30415,72842
14284,31669,98394
91299,33003,98512
50558,25664,87891
45463,92120,88896
78928,17342,53217
85152,36483,90933
32494,63948,13733
79538,15123,59524
13272,69237,88883
71440,34646,36000
70887,92196,70756
86682,49869,59461
87014,69218,96246
85096,62446,58342
47656,42067,94693
76389,21187,19854
98808,95119,66355
56317,4067,58089
62979,31016,54595
95574,94910,44555
92818,89957,30178
88205,83421,11231
98025,26158,67351
34996,37782,12656
7275,92020,69192
61755,48578,74891
91077,87591,13567
47178,98753,67298
24890,185,41055
21656,10424,76098
36907,5392,33161
1196,87844,89911
62084,33566,56665
66936,13949,44242
10287,7906,50612
94242,25001,57410
75412,1024,29512
90851,87543,72388
71747,19001,91980
22967,72331,12208
29687,34581,5318
